                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.234,                 1.5787,                 1.0379,                0.65601,                0.33655,                0.45513,                0.27681,                 1.2607,                 1.6965,                 1.0629,             0.00047288,             0.00047288,             0.00047288
                      2,                 1.1624,                0.98281,                   1.01,                0.62921,                0.60176,                0.60274,                0.34597,                 1.1453,                0.90529,                 1.0117,             0.00093982,             0.00093982,             0.00093982
                      3,                 1.1381,                0.88738,                 1.0007,                0.64663,                0.59559,                0.62181,                0.35936,                  1.144,                0.91309,                 1.0102,              0.0013973,              0.0013973,              0.0013973
                      4,                 1.1275,                0.84342,                 1.0031,                0.66018,                0.60951,                0.64837,                0.37775,                 1.1438,                0.82825,                 1.0192,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1043,                0.79451,                0.99557,                0.63544,                 0.6427,                0.66128,                 0.3857,                 1.1235,                0.87168,                 1.0163,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.0892,                0.76567,                0.98994,                0.74012,                0.63056,                0.67871,                 0.3972,                 1.1133,                0.74146,                 1.0078,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.0663,                0.74101,                0.98326,                 0.7083,                0.66512,                0.70227,                0.40865,                 1.0817,                0.74484,                0.99301,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.056,                0.72066,                 0.9787,                 0.7416,                0.65173,                0.71182,                0.41136,                 1.1049,                0.74149,                0.99739,                0.00133,                0.00133,                0.00133
                      9,                 1.0422,                0.71011,                0.97611,                0.71776,                0.64448,                0.70047,                0.40994,                 1.0851,                0.73527,                  1.001,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0354,                0.69444,                0.97191,                0.73959,                0.65689,                0.70787,                0.42109,                 1.0536,                 0.7167,                0.98674,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0239,                0.68396,                0.96573,                0.75244,                0.67019,                0.71891,                0.42556,                 1.0475,                0.70971,                0.98278,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0213,                0.67566,                0.96754,                0.75541,                0.67973,                0.72749,                0.42659,                  1.041,                0.68657,                0.97868,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0108,                0.66169,                0.96095,                0.73029,                0.65091,                 0.7039,                0.41023,                 1.0604,                0.77586,                0.99116,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0022,                 0.6568,                0.95761,                0.76405,                0.68571,                0.73999,                0.44279,                 1.0326,                0.66316,                0.97222,              0.0012451,              0.0012451,              0.0012451
                     15,                0.99735,                0.64994,                0.96087,                0.75241,                0.64816,                0.71403,                0.42413,                 1.0467,                0.68726,                0.97901,              0.0012309,              0.0012309,              0.0012309
                     16,                0.99211,                 0.6416,                0.95789,                0.73998,                0.67618,                0.72989,                 0.4375,                 1.0287,                0.67677,                0.97512,              0.0012168,              0.0012168,              0.0012168
                     17,                0.98472,                0.63697,                0.95006,                0.74583,                0.69581,                0.74302,                 0.4426,                  1.027,                0.66602,                0.97769,              0.0012026,              0.0012026,              0.0012026
                     18,                0.97564,                0.62576,                0.94903,                0.77303,                0.67466,                0.75286,                0.44776,                 1.0228,                0.63989,                0.97309,              0.0011885,              0.0011885,              0.0011885
                     19,                0.96636,                  0.621,                0.94699,                0.77076,                0.68572,                0.74813,                 0.4437,                 1.0036,                0.65569,                0.96542,              0.0011744,              0.0011744,              0.0011744
                     20,                0.96596,                0.61526,                0.94591,                0.77674,                0.68674,                0.75068,                0.44304,                 1.0103,                0.65088,                0.96744,              0.0011602,              0.0011602,              0.0011602
                     21,                0.96818,                0.61249,                0.94948,                0.78089,                0.68805,                0.75869,                0.45469,                0.98886,                0.62518,                0.95929,              0.0011461,              0.0011461,              0.0011461
                     22,                0.96159,                0.60632,                0.94609,                0.77645,                 0.6994,                0.75997,                0.44808,                 1.0237,                0.62104,                0.96949,              0.0011319,              0.0011319,              0.0011319
                     23,                0.95994,                 0.6058,                0.94607,                0.77917,                 0.6951,                0.75221,                0.45469,                0.99659,                0.61809,                0.96254,              0.0011178,              0.0011178,              0.0011178
                     24,                0.95674,                0.60372,                0.94121,                0.78194,                0.70991,                0.76425,                 0.4556,                  0.992,                0.61459,                0.96414,              0.0011036,              0.0011036,              0.0011036
                     25,                0.94796,                0.59672,                0.94166,                0.80162,                0.69825,                0.77058,                0.46173,                0.98645,                0.59414,                0.95975,              0.0010895,              0.0010895,              0.0010895
                     26,                0.94259,                0.58994,                0.93727,                0.78517,                0.70797,                0.76674,                 0.4598,                0.99412,                0.59777,                0.96152,              0.0010753,              0.0010753,              0.0010753
                     27,                0.94417,                0.58342,                0.93651,                0.78604,                 0.7002,                0.76639,                0.45803,                0.98564,                0.60171,                0.95833,              0.0010612,              0.0010612,              0.0010612
                     28,                0.93908,                0.58379,                0.93843,                 0.7737,                0.72075,                0.76945,                0.46421,                0.98733,                0.60315,                0.95723,               0.001047,               0.001047,               0.001047
                     29,                 0.9301,                0.58151,                0.93469,                0.79899,                0.69588,                0.76407,                0.45522,                0.98996,                0.60204,                 0.9585,              0.0010329,              0.0010329,              0.0010329
                     30,                0.92752,                0.57341,                0.93118,                 0.7973,                0.71283,                0.77692,                0.46962,                0.97929,                0.58375,                0.95638,              0.0010187,              0.0010187,              0.0010187
                     31,                0.92621,                0.57129,                0.93363,                0.78439,                0.70493,                0.76807,                0.46493,                0.98308,                0.58021,                0.96101,              0.0010046,              0.0010046,              0.0010046
                     32,                0.92294,                0.56888,                0.93464,                0.79396,                0.72134,                0.77757,                0.47412,                0.97033,                0.58183,                0.95557,             0.00099044,             0.00099044,             0.00099044
                     33,                 0.9231,                 0.5697,                0.93208,                0.79239,                0.70532,                0.76662,                0.46299,                 0.9819,                0.59155,                0.95429,             0.00097629,             0.00097629,             0.00097629
                     34,                0.91878,                0.56168,                0.92908,                0.75616,                0.73262,                0.77181,                0.46941,                0.96154,                0.63288,                0.95443,             0.00096215,             0.00096215,             0.00096215
